city_id,population_difference,built_up_area_difference_m2,urban_centre_area_difference_km2,reconciliation_semantics
141,0.13850000000093132,0,0.0,current_epoch_file_integrity_not_temporal_comparability
142,-0.20480000000679865,0,0.0,current_epoch_file_integrity_not_temporal_comparability
143,0.13360000000102445,0,0.0,current_epoch_file_integrity_not_temporal_comparability
144,-0.4695599999977276,0,0.0,current_epoch_file_integrity_not_temporal_comparability
145,-0.2433000000019092,0,0.0,current_epoch_file_integrity_not_temporal_comparability
146,0.38087999999697786,0,0.0,current_epoch_file_integrity_not_temporal_comparability
147,-0.3659699999989243,0,0.0,current_epoch_file_integrity_not_temporal_comparability
148,0.4714000000094529,0,0.0,current_epoch_file_integrity_not_temporal_comparability
149,0.20781000000715721,0,0.0,current_epoch_file_integrity_not_temporal_comparability
150,-0.3433999999979278,0,0.0,current_epoch_file_integrity_not_temporal_comparability
151,-0.09554999999818392,0,0.0,current_epoch_file_integrity_not_temporal_comparability
152,0.1340000000782311,0,0.0,current_epoch_file_integrity_not_temporal_comparability
153,0.12800000002607703,0,0.0,current_epoch_file_integrity_not_temporal_comparability
154,0.4681700000001001,0,0.0,current_epoch_file_integrity_not_temporal_comparability
155,0.10990999999921769,0,0.0,current_epoch_file_integrity_not_temporal_comparability
156,0.2084000000031665,0,0.0,current_epoch_file_integrity_not_temporal_comparability
157,0.31089999999676365,0,0.0,current_epoch_file_integrity_not_temporal_comparability
158,0.4197199999980512,0,0.0,current_epoch_file_integrity_not_temporal_comparability
159,-0.4449000000022352,0,0.0,current_epoch_file_integrity_not_temporal_comparability
160,0.485370000002149,0,0.0,current_epoch_file_integrity_not_temporal_comparability
161,0.07042000000365078,0,0.0,current_epoch_file_integrity_not_temporal_comparability
162,-0.28845000000001164,0,0.0,current_epoch_file_integrity_not_temporal_comparability
163,0.39380000001983717,0,0.0,current_epoch_file_integrity_not_temporal_comparability
164,0.47240000002784654,0,0.0,current_epoch_file_integrity_not_temporal_comparability
165,0.19430000000284053,0,0.0,current_epoch_file_integrity_not_temporal_comparability
166,-0.3855000000039581,0,0.0,current_epoch_file_integrity_not_temporal_comparability
167,-0.12330000000656582,0,0.0,current_epoch_file_integrity_not_temporal_comparability
168,-0.30058999999891967,0,0.0,current_epoch_file_integrity_not_temporal_comparability
169,0.3804999999993015,0,0.0,current_epoch_file_integrity_not_temporal_comparability
170,0.17600999999558553,0,0.0,current_epoch_file_integrity_not_temporal_comparability
171,-0.33284000000276137,0,0.0,current_epoch_file_integrity_not_temporal_comparability
172,-0.17869999998947605,0,0.0,current_epoch_file_integrity_not_temporal_comparability
173,-0.007400000002235174,0,0.0,current_epoch_file_integrity_not_temporal_comparability
174,0.19015000000217697,0,0.0,current_epoch_file_integrity_not_temporal_comparability
175,-0.07779999999911524,0,0.0,current_epoch_file_integrity_not_temporal_comparability
176,-0.39339999994263053,0,0.0,current_epoch_file_integrity_not_temporal_comparability
177,-0.24461999999766704,0,0.0,current_epoch_file_integrity_not_temporal_comparability
178,-0.16199999954551458,0,0.0,current_epoch_file_integrity_not_temporal_comparability
179,-0.1361800000013318,0,0.0,current_epoch_file_integrity_not_temporal_comparability
180,-0.11219999997410923,0,0.0,current_epoch_file_integrity_not_temporal_comparability
181,-0.4279700000042794,0,0.0,current_epoch_file_integrity_not_temporal_comparability
182,-0.12299999999231659,0,0.0,current_epoch_file_integrity_not_temporal_comparability
183,-0.48639999999431893,0,0.0,current_epoch_file_integrity_not_temporal_comparability
184,-0.2365600000048289,0,0.0,current_epoch_file_integrity_not_temporal_comparability
185,0.42040000000270084,0,0.0,current_epoch_file_integrity_not_temporal_comparability
186,0.17869999998947605,0,0.0,current_epoch_file_integrity_not_temporal_comparability
187,0.12969000000157394,0,0.0,current_epoch_file_integrity_not_temporal_comparability
189,0.4211000000068452,0,0.0,current_epoch_file_integrity_not_temporal_comparability
190,0.49119999998947605,0,0.0,current_epoch_file_integrity_not_temporal_comparability
191,0.04782000000705011,0,0.0,current_epoch_file_integrity_not_temporal_comparability
192,0.440759999997681,0,0.0,current_epoch_file_integrity_not_temporal_comparability
193,-0.24560000002384186,0,0.0,current_epoch_file_integrity_not_temporal_comparability
194,0.0916399999987334,0,0.0,current_epoch_file_integrity_not_temporal_comparability
195,0.23222000000532717,0,0.0,current_epoch_file_integrity_not_temporal_comparability
196,-0.42590000000200234,0,0.0,current_epoch_file_integrity_not_temporal_comparability
197,0.19550000000162981,0,0.0,current_epoch_file_integrity_not_temporal_comparability
198,-0.3121099999989383,0,0.0,current_epoch_file_integrity_not_temporal_comparability
199,-0.21259999999892898,0,0.0,current_epoch_file_integrity_not_temporal_comparability
200,-0.0464399999982561,0,0.0,current_epoch_file_integrity_not_temporal_comparability
201,0.3643000000010943,0,0.0,current_epoch_file_integrity_not_temporal_comparability
202,0.46370000002207235,0,0.0,current_epoch_file_integrity_not_temporal_comparability
203,-0.4157999999879394,0,0.0,current_epoch_file_integrity_not_temporal_comparability
204,0.3984000000054948,0,0.0,current_epoch_file_integrity_not_temporal_comparability
205,0.06502000000182306,0,0.0,current_epoch_file_integrity_not_temporal_comparability
206,0.16313000000081956,0,0.0,current_epoch_file_integrity_not_temporal_comparability
207,0.10676999999850523,0,0.0,current_epoch_file_integrity_not_temporal_comparability
208,-0.12694000000192318,0,0.0,current_epoch_file_integrity_not_temporal_comparability
