origin,weighting,model,n,country_count,candidate_train_n,matched_train_n,beta,mae,rmse,mae_delta_vs_contemporaneous_country,rmse_delta_vs_contemporaneous_country,mae_winner,rmse_winner,test_rows_identical_across_models,training_precedes_origin,contemporaneous_country_leave_city_out,contemporaneous_country_uses_future_outcome
2000,country_balanced,contemporaneous_country_plus_city_deviation,8051,181,25809,25809,0.4742863729893972,0.012737939179977389,0.01912815283076575,-0.00307991816403016,-0.004323502201611387,True,True,True,True,True,False
2000,country_balanced,historical_country_loo_only,8051,181,25809,25809,,0.015893861083617778,0.023243226710066272,7.60037396102288e-05,-0.00020842832231086558,False,False,True,True,True,False
2000,country_balanced,historical_country_loo_plus_recent_growth,8051,181,25809,25809,0.2305877757744523,0.014240345861409313,0.020928985021212865,-0.0015775114825982359,-0.002522670011164272,False,False,True,True,True,False
2000,row_weighted,contemporaneous_country_only,8051,181,25809,25809,,0.013464542884833468,0.019437687471451786,0.0,0.0,False,False,True,True,True,False
2000,row_weighted,contemporaneous_country_plus_city_deviation,8051,181,25809,25809,0.5688986004033926,0.012813546319419708,0.02006324610307959,-0.0006509965654137601,0.0006255586316278039,False,False,True,True,True,False
2000,row_weighted,historical_country_loo_only,8051,181,25809,25809,,0.013337030049899811,0.019233501399732823,-0.0001275128349336567,-0.00020418607171896266,False,True,True,True,True,False
2000,row_weighted,historical_country_loo_plus_recent_growth,8051,181,25809,25809,0.5386491884943074,0.012293845760744831,0.019374066062530334,-0.001170697124088637,-6.362140892145207e-05,True,False,True,True,True,False
2005,country_balanced,contemporaneous_country_only,8822,182,33860,33860,,0.015107520988277287,0.025713450842486125,0.0,0.0,False,False,True,True,True,False
2005,country_balanced,contemporaneous_country_plus_city_deviation,8822,182,33860,33860,0.4683992365097919,0.012318306936733336,0.023240265657347353,-0.0027892140515439513,-0.0024731851851387716,True,True,True,True,True,False
2005,country_balanced,historical_country_loo_only,8822,182,33860,33860,,0.01627564283287148,0.026383316562992105,0.0011681218445941926,0.0006698657205059799,False,False,True,True,True,False
2005,country_balanced,historical_country_loo_plus_recent_growth,8822,182,33860,33860,0.22803848663807763,0.014720555725267936,0.02531630745908616,-0.0003869652630093517,-0.00039714338339996366,False,False,True,True,True,False
2005,row_weighted,contemporaneous_country_only,8822,182,33860,33860,,0.0124236466427027,0.01911178821969907,0.0,0.0,False,False,True,True,True,False
2005,row_weighted,contemporaneous_country_plus_city_deviation,8822,182,33860,33860,0.4792374192952517,0.00987487976950878,0.016357389736708607,-0.002548766873193921,-0.0027543984829904618,True,False,True,True,True,False
2005,row_weighted,historical_country_loo_only,8822,182,33860,33860,,0.013277120939605924,0.01947385789033055,0.0008534742969032241,0.0003620696706314805,False,False,True,True,True,False
2005,row_weighted,historical_country_loo_plus_recent_growth,8822,182,33860,33860,0.45316402310853154,0.009973077293820815,0.01634703852512212,-0.002450569348881885,-0.0027647496945769484,False,True,True,True,True,False
2010,country_balanced,contemporaneous_country_only,9476,186,42682,42682,,0.01595379682526527,0.026411516718971816,0.0,0.0,False,False,True,True,True,False
2010,country_balanced,contemporaneous_country_plus_city_deviation,9476,186,42682,42682,0.47061542534786,0.012626583527585573,0.023440087220349445,-0.003327213297679696,-0.00297142949862237,True,True,True,True,True,False
2010,country_balanced,historical_country_loo_only,9476,186,42682,42682,,0.015820469290087964,0.024667278262035484,-0.0001333275351773043,-0.0017442384569363312,False,False,True,True,True,False
2010,country_balanced,historical_country_loo_plus_recent_growth,9476,186,42682,42682,0.24874882484748942,0.014086774465030186,0.023594974790569177,-0.0018670223602350825,-0.0028165419284026383,False,False,True,True,True,False
2010,row_weighted,contemporaneous_country_only,9476,186,42682,42682,,0.013365043527944123,0.020552970064701224,0.0,0.0,False,False,True,True,True,False
2010,row_weighted,contemporaneous_country_plus_city_deviation,9476,186,42682,42682,0.48595571351272143,0.011211198164616472,0.018642664569688848,-0.0021538453633276507,-0.0019103054950123759,True,True,True,True,True,False
2010,row_weighted,historical_country_loo_only,9476,186,42682,42682,,0.014586467610826069,0.021152951982831653,0.0012214240828819466,0.0005999819181304288,False,False,True,True,True,False
2010,row_weighted,historical_country_loo_plus_recent_growth,9476,186,42682,42682,0.46292128836302215,0.011389436217059672,0.01871669890960437,-0.001975607310884451,-0.0018362711550968525,False,False,True,True,True,False
2015,country_balanced,contemporaneous_country_only,9990,186,52158,52158,,0.02040797431381068,0.032203502594433796,0.0,0.0,False,False,True,True,True,False
2015,country_balanced,contemporaneous_country_plus_city_deviation,9990,186,52158,52158,0.47468467989028096,0.017503123003677422,0.029160906035302324,-0.0029048513101332593,-0.003042596559131472,True,False,True,True,True,False
2015,country_balanced,historical_country_loo_only,9990,186,52158,52158,,0.020519226004780747,0.030756581876166363,0.0001112516909700656,-0.0014469207182674325,False,False,True,True,True,False
2015,country_balanced,historical_country_loo_plus_recent_growth,9990,186,52158,52158,0.24237577267374955,0.019002402575550525,0.02909443560567056,-0.0014055717382601557,-0.003109066988763235,False,True,True,True,True,False
2015,row_weighted,contemporaneous_country_only,9990,186,52158,52158,,0.01690311844205679,0.024934940083370702,0.0,0.0,False,False,True,True,True,False
2015,row_weighted,contemporaneous_country_plus_city_deviation,9990,186,52158,52158,0.48065763938234485,0.014189260066234607,0.021753599747979222,-0.002713858375822182,-0.0031813403353914797,True,True,True,True,True,False
2015,row_weighted,historical_country_loo_only,9990,186,52158,52158,,0.018608683978091428,0.026341468945399026,0.0017055655360346395,0.0014065288620283244,False,False,True,True,True,False
2015,row_weighted,historical_country_loo_plus_recent_growth,9990,186,52158,52158,0.46261188765471817,0.014392126790068545,0.02186536039425536,-0.0025109916519882435,-0.0030695796891153405,False,False,True,True,True,False
